Country,Abbreviation,GDP Ranking,US dollars
United States,USA,1,"19,485,394"
China,CHN,2,"12,237,700"
Japan,JPN,3,"4,872,415"
Germany,DEU,4,"3,693,204"
India,IND,5,"2,650,725"
United Kingdom,GBR,6,"2,637,866"
France,FRA,7,"2,582,501"
Brazil,BRA,8,"2,053,595"
Italy,ITA,9,"1,943,835"
Canada,CAN,10,"1,647,120"
Russian Federation,RUS,11,"1,578,417"
"Korea, Rep.",KOR,12,"1,530,751"
Australia,AUS,13,"1,323,421"
Spain,ESP,14,"1,314,314"
Mexico,MEX,15,"1,150,888"
Indonesia,IDN,16,"1,015,421"
Turkey,TUR,17,"851,549"
Netherlands,NLD,18,"830,573"
Saudi Arabia,SAU,19,"686,738"
Switzerland,CHE,20,"678,965"
Argentina,ARG,21,"637,430"
Sweden,SWE,22,"535,607"
Poland,POL,23,"526,466"
Belgium,BEL,24,"494,764"
Thailand,THA,25,"455,303"
"Iran, Islamic Rep.",IRN,26,"454,013"
Austria,AUT,27,"416,836"
Norway,NOR,28,"399,489"
United Arab Emirates,ARE,29,"382,575"
Nigeria,NGA,30,"375,745"
Israel,ISR,31,"353,268"
South Africa,ZAF,32,"348,872"
"Hong Kong SAR, China",HKG,33,"341,449"
Ireland,IRL,34,"331,430"
Denmark,DNK,35,"329,866"
Singapore,SGP,36,"323,907"
Malaysia,MYS,37,"314,710"
Colombia,COL,38,"314,458"
Philippines,PHL,39,"313,595"
Pakistan,PAK,40,"304,952"
Chile,CHL,41,"277,076"
Finland,FIN,42,"252,302"
Bangladesh,BGD,43,"249,724"
"Egypt, Arab Rep.",EGY,44,"235,369"
Vietnam,VNM,45,"223,780"
Portugal,PRT,46,"219,308"
Czech Republic,CZE,47,"215,914"
Romania,ROU,48,"211,884"
Peru,PER,49,"211,389"
New Zealand,NZL,50,"204,139"
Greece,GRC,51,"203,086"
Iraq,IRQ,52,"192,061"
Algeria,DZA,53,"167,555"
Qatar,QAT,54,"166,929"
Kazakhstan,KAZ,55,"162,887"
Hungary,HUN,56,"139,761"
Angola,AGO,57,"122,124"
Kuwait,KWT,58,"120,126"
Sudan,SDN,59,"117,488"
Ukraine,UKR,60,"112,154"
Morocco,MAR,61,"109,709"
Ecuador,ECU,62,"104,296"
Puerto Rico,PRI,63,"103,961"
Cuba,CUB,64,"96,851"
Slovak Republic,SVK,65,"95,618"
Sri Lanka,LKA,66,"87,357"
Ethiopia,ETH,67,"80,561"
Kenya,KEN,68,"79,263"
Dominican Republic,DOM,69,"75,932"
Guatemala,GTM,70,"75,620"
Oman,OMN,71,"70,784"
Myanmar,MMR,72,"67,069"
Luxembourg,LUX,73,"62,316"
Panama,PAN,74,"62,284"
Ghana,GHA,75,"58,997"
Bulgaria,BGR,76,"58,221"
Costa Rica,CRI,77,"57,286"
Uruguay,URY,78,"56,157"
Croatia,HRV,79,"55,213"
Belarus,BLR,80,"54,456"
Lebanon,LBN,81,"53,577"
Tanzania,TZA,82,"53,321"
"Macao SAR, China",MAC,83,"50,361"
Uzbekistan,UZB,84,"49,677"
Slovenia,SVN,85,"48,770"
Lithuania,LTU,86,"47,544"
Serbia,SRB,87,"41,432"
Azerbaijan,AZE,88,"40,748"
Jordan,JOR,89,"40,068"
Tunisia,TUN,90,"39,952"
Paraguay,PRY,91,"39,667"
Libya,LBY,92,"38,108"
Turkmenistan,TKM,93,"37,926"
"Congo, Dem. Rep.",COD,94,"37,642"
Bolivia,BOL,95,"37,509"
Côte d'Ivoire,CIV,96,"37,353"
Bahrain,BHR,97,"35,433"
Cameroon,CMR,98,"34,923"
"Yemen, Rep.",YEM,99,"31,268"
Latvia,LVA,100,"30,463"
Estonia,EST,101,"26,612"
Uganda,UGA,102,"25,995"
Zambia,ZMB,103,"25,868"
Nepal,NPL,104,"24,880"
El Salvador,SLV,105,"24,805"
Iceland,ISL,106,"24,488"
Honduras,HND,107,"22,979"
Cambodia,KHM,108,"22,158"
Trinidad and Tobago,TTO,109,"22,079"
Cyprus,CYP,110,"22,054"
Zimbabwe,ZWE,111,"22,041"
Senegal,SEN,112,"21,070"
Papua New Guinea,PNG,113,"20,536"
Afghanistan,AFG,114,"19,544"
Bosnia and Herzegovina,BIH,115,"18,055"
Botswana,BWA,116,"17,407"
Lao PDR,LAO,117,"16,853"
Mali,MLI,118,"15,334"
Georgia,GEO,119,"15,081"
Gabon,GAB,120,"15,014"
Jamaica,JAM,121,"14,781"
West Bank and Gaza,PSE,122,"14,498"
Nicaragua,NIC,123,"13,814"
Mauritius,MUS,124,"13,266"
Namibia,NAM,125,"13,254"
Albania,ALB,126,"13,039"
Mozambique,MOZ,127,"12,646"
Malta,MLT,128,"12,518"
Burkina Faso,BFA,129,"12,323"
Equatorial Guinea,GNQ,130,"12,294"
"Bahamas, The",BHS,131,"12,162"
Brunei Darussalam,BRN,132,"12,128"
Armenia,ARM,133,"11,537"
Madagascar,MDG,134,"11,500"
Mongolia,MNG,135,"11,434"
North Macedonia,MKD,136,"11,280"
Guinea,GIN,137,"10,473"
Chad,TCD,138,"9,871"
Benin,BEN,139,"9,247"
Rwanda,RWA,140,"9,135"
"Congo, Rep.",COG,141,"8,701"
Haiti,HTI,142,"8,408"
Moldova,MDA,143,"8,128"
Niger,NER,144,"8,120"
Kyrgyz Republic,KGZ,145,"7,565"
Kosovo,XKX,146,"7,245"
Tajikistan,TJK,147,"7,146"
Somalia,SOM,148,"7,052"
Isle of Man,IMN,149,"6,593"
Monaco,MCO,150,"6,468"
Malawi,MWI,151,"6,303"
Liechtenstein,LIE,152,"6,215"
Guam,GUM,153,"5,859"
Fiji,FJI,154,"5,061"
Mauritania,MRT,155,"5,025"
Maldives,MDV,156,"4,866"
Montenegro,MNE,157,"4,845"
Togo,TGO,158,"4,758"
Barbados,BRB,159,"4,674"
Eswatini,SWZ,160,"4,434"
Sierra Leone,SLE,161,"3,775"
Virgin Islands (U.S.),VIR,162,"3,759"
Guyana,GUY,163,"3,621"
Liberia,LBR,164,"3,285"
Burundi,BDI,165,"3,172"
Andorra,AND,166,"3,013"
Suriname,SUR,167,"2,996"
Timor-Leste,TLS,168,"2,955"
South Sudan,SSD,169,"2,904"
Greenland,GRL,170,"2,706"
Aruba,ABW,171,"2,701"
Lesotho,LSO,172,"2,578"
Bhutan,BTN,173,"2,528"
Faroe Islands,FRO,174,"2,477"
Central African Republic,CAF,175,"1,949"
Belize,BLZ,176,"1,863"
Djibouti,DJI,177,"1,845"
Cabo Verde,CPV,178,"1,773"
St. Lucia,LCA,179,"1,738"
San Marino,SMR,180,"1,633"
Northern Mariana Islands,MNP,181,"1,593"
Antigua and Barbuda,ATG,182,"1,510"
Seychelles,SYC,183,"1,498"
"Gambia, The",GMB,184,"1,489"
Guinea-Bissau,GNB,185,"1,347"
Solomon Islands,SLB,186,"1,303"
Grenada,GRD,187,"1,127"
Comoros,COM,188,"1,068"
St. Kitts and Nevis,KNA,189,992
Vanuatu,VUT,190,863
Samoa,WSM,191,841
St. Vincent and the Grenadines,VCT,192,785
American Samoa,ASM,193,634
Dominica,DMA,194,497
Tonga,TON,195,428
São Tomé and Principe,STP,196,393
"Micronesia, Fed. Sts.",FSM,197,336
Palau,PLW,198,290
Marshall Islands,MHL,199,204
Kiribati,KI,200,186
